scientificName	year	month	day	decimalLatitude	decimalLongitude	url	kingdom	phylum	class	order	family	genus	vernacularName	country
Steatoda nobilis	2021.0	9.0	7.0	43.565237	3.913712	https://inaturalist-open-data.s3.amazonaws.com/photos/168950726/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	['noble false widow']	France
Holocnemus pluchei	2024.0	11.0	5.0	34.066952	-117.790039	https://inaturalist-open-data.s3.amazonaws.com/photos/448288840/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	['marbled cellar spider']	United States
Pholcus phalangioides	2020.0	7.0	16.0	47.274756	-122.26979	https://inaturalist-open-data.s3.amazonaws.com/photos/84675241/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	United States
Nephilingis cruentata	2023.0	8.0	18.0	-22.397129	-41.794523	https://inaturalist-open-data.s3.amazonaws.com/photos/311649086/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Holocnemus pluchei	2023.0	9.0	9.0	35.382292	-119.124907	https://inaturalist-open-data.s3.amazonaws.com/photos/330414873/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	['marbled cellar spider']	United States
Nesticodes rufipes	2024.0	3.0	4.0	-27.551912	152.974555	https://inaturalist-open-data.s3.amazonaws.com/photos/355186010/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Nesticodes	"['brown house spider'#'red house spider']"	Australia
Scytodes thoracica	2017.0	9.0	5.0	41.690035	-83.61503	https://inaturalist-open-data.s3.amazonaws.com/photos/10281011/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	"['common spitting spider'#'spitting spider']"	United States
Pholcus phalangioides	2021.0	3.0	6.0	49.343269	-123.108475	https://inaturalist-open-data.s3.amazonaws.com/photos/114949341/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Canada
Pholcus phalangioides	2025.0	1.0	7.0	-34.636129	-58.407113	https://inaturalist-open-data.s3.amazonaws.com/photos/462645226/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Argentina
Scytodes thoracica	2021.0	5.0	8.0	42.343465	-71.05682	https://inaturalist-open-data.s3.amazonaws.com/photos/127445794/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	"['common spitting spider'#'spitting spider']"	United States
Latrodectus geometricus	2021.0	9.0	8.0	33.987658	-118.199811	https://inaturalist-open-data.s3.amazonaws.com/photos/156134416/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	"['brown widow spider'#'brown widow'#'brown buttonspider'#'brown button spider'#'brown button']"	United States
Mimetus puritanus	2023.0	4.0	14.0	42.919955	-71.056655	https://inaturalist-open-data.s3.amazonaws.com/photos/267980147/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Mimetidae	Mimetus	['common pirate spider']	United States
Cryptachaea gigantipes	2024.0	4.0	27.0	-43.520859	172.672929	https://inaturalist-open-data.s3.amazonaws.com/photos/376041437/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	New Zealand
Latrodectus geometricus	2018.0	7.0	16.0	28.654581	-97.386862	https://inaturalist-open-data.s3.amazonaws.com/photos/21498123/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	"['brown widow spider'#'brown widow'#'brown buttonspider'#'brown button spider'#'brown button']"	United States
Araneus pegnia	2024.0	7.0	26.0	30.45832	-97.758963	https://inaturalist-open-data.s3.amazonaws.com/photos/411756899/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['butterfly'#'bweaver']"	United States
Larinioides cornutus	2017.0	6.0	25.0	34.041473	-81.216459	https://inaturalist-open-data.s3.amazonaws.com/photos/9146010/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['furrow spider'#'furrow'#'bweaver']"	United States
Neoscona crucifera	2020.0	11.0	12.0	38.658172	-77.249705	https://inaturalist-open-data.s3.amazonaws.com/photos/104195040/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	"[""hentz's""#'bweaver'#'spotted'#'bweaver'#'barn spider']"	United States
Parasteatoda tepidariorum	2025.0	2.0	6.0	-23.34	-46.63	https://inaturalist-open-data.s3.amazonaws.com/photos/468408152/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	"['glasshouse spider'#'american house spider'#'common house spider']"	Brazil
Oecobius navus	2024.0	4.0	9.0	38.690165	-9.309032	https://inaturalist-open-data.s3.amazonaws.com/photos/367845283/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Oecobiidae	Oecobius	"['baseboard spider'#'wall spider'#'house ant-eating spider'#'cosmopolitan midget house spider']"	Portugal
Holocnemus pluchei	2021.0	5.0	16.0	45.769892	4.829354	https://inaturalist-open-data.s3.amazonaws.com/photos/129436300/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	['marbled cellar spider']	France
Araneus diadematus	2018.0	9.0	2.0	53.754915	12.239622	https://inaturalist-open-data.s3.amazonaws.com/photos/246826477/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['european garden spider'#'diadem spider'#'cross'#'bweaver'#'cross spider']"	Germany
Cryptachaea gigantipes	2022.0	9.0	11.0	-37.654128	145.351438	https://inaturalist-open-data.s3.amazonaws.com/photos/229246442/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	Australia
Steatoda grossa	2023.0	10.0	7.0	48.605022	0.171388	https://inaturalist-open-data.s3.amazonaws.com/photos/325999537/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	"['brown house spider'#'house cobweb spider'#'dark comb-footed spider'#'large cupboard spider'#'false black widow'#'cupboard spider']"	France
Argiope aurantia	2024.0	8.0	2.0	31.392722	-95.158997	https://inaturalist-open-data.s3.amazonaws.com/photos/415715149/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Larinioides sclopetarius	2020.0	9.0	4.0	45.521343	-65.82716	https://inaturalist-open-data.s3.amazonaws.com/photos/93435961/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['bridge'#'bweaver'#'grey cross spider'#'bridge spider'#'bridge'#'bweb spider'#'gray cross spider']"	Canada
Argiope aurantia	2023.0	8.0	26.0	29.767205	-95.451355	https://inaturalist-open-data.s3.amazonaws.com/photos/314349086/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Argiope aurantia	2020.0	10.0	13.0	29.812231	-95.682119	https://inaturalist-open-data.s3.amazonaws.com/photos/100137507/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Scytodes thoracica	2022.0	11.0	3.0	41.88852	-87.785613	https://inaturalist-open-data.s3.amazonaws.com/photos/241401817/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	"['common spitting spider'#'spitting spider']"	United States
Pholcus phalangioides	2023.0	9.0	30.0	47.651128	-122.307738	https://inaturalist-open-data.s3.amazonaws.com/photos/324202397/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	United States
Pholcus phalangioides	2024.0	4.0	17.0	-34.825484	138.683617	https://inaturalist-open-data.s3.amazonaws.com/photos/368122081/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Australia
Oecobius navus	2022.0	3.0	8.0	-35.489281	-62.97466	https://inaturalist-open-data.s3.amazonaws.com/photos/182147210/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Oecobiidae	Oecobius	"['baseboard spider'#'wall spider'#'house ant-eating spider'#'cosmopolitan midget house spider']"	Argentina
Araneus diadematus	2022.0	10.0	21.0	42.495158	-70.961738	https://inaturalist-open-data.s3.amazonaws.com/photos/239012817/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['european garden spider'#'diadem spider'#'cross'#'bweaver'#'cross spider']"	United States
Scytodes thoracica	2025.0	3.0	4.0	43.799905	6.823305	https://inaturalist-open-data.s3.amazonaws.com/photos/474186016/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	"['common spitting spider'#'spitting spider']"	France
Cryptachaea gigantipes	2019.0	2.0	9.0	-40.281905	175.747759	https://inaturalist-open-data.s3.amazonaws.com/photos/31211204/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	New Zealand
Holocnemus pluchei	2022.0	9.0	17.0	49.977425	8.055044	https://inaturalist-open-data.s3.amazonaws.com/photos/230845772/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	['marbled cellar spider']	Germany
Zygiella x-notata	2024.0	10.0	3.0	52.675969	-2.420264	https://inaturalist-open-data.s3.amazonaws.com/photos/438188539/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Zygiella	"['missing-sect'#'bweb spider'#'silver-sided sect'#'spider'#'open-sect'#'spider'#'missing-sect'#'spider']"	United Kingdom
Mimetus puritanus	2019.0	7.0	20.0	41.214212	-88.025883	https://inaturalist-open-data.s3.amazonaws.com/photos/45699909/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Mimetidae	Mimetus	['common pirate spider']	United States
Cryptachaea gigantipes	2023.0	11.0	13.0	-37.914742	145.328306	https://inaturalist-open-data.s3.amazonaws.com/photos/334646625/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	Australia
Larinioides sclopetarius	2020.0	10.0	9.0	49.519365	-117.259113	https://inaturalist-open-data.s3.amazonaws.com/photos/99573440/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['bridge'#'bweaver'#'grey cross spider'#'bridge spider'#'bridge'#'bweb spider'#'gray cross spider']"	Canada
Nephilingis cruentata	2021.0	12.0	11.0	-27.149667	-48.898487	https://inaturalist-open-data.s3.amazonaws.com/photos/172081988/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Zosis geniculata	2022.0	1.0	21.0	-27.522368	152.987778	https://inaturalist-open-data.s3.amazonaws.com/photos/178793712/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Uloboridae	Zosis	"['banded-knees house spider'#'feather-legged spider'#'ninja-star ceiling spider']"	Australia
Cryptachaea veruculata	2022.0	10.0	16.0	-43.517357	172.633176	https://inaturalist-open-data.s3.amazonaws.com/photos/242158703/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['cosmopolitan cryptachaea'#'diamond comb-footed spider']"	New Zealand
Cryptachaea gigantipes	2023.0	3.0	17.0	-38.190463	145.09282	https://inaturalist-open-data.s3.amazonaws.com/photos/261146289/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	Australia
Larinioides sclopetarius	2021.0	8.0	30.0	43.74203	-79.407049	https://inaturalist-open-data.s3.amazonaws.com/photos/154176881/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['bridge'#'bweaver'#'grey cross spider'#'bridge spider'#'bridge'#'bweb spider'#'gray cross spider']"	Canada
Argiope aurantia	2019.0	8.0	23.0	40.785558	-76.139153	https://inaturalist-open-data.s3.amazonaws.com/photos/49071514/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Scytodes thoracica	2024.0	8.0	28.0	51.474579	11.963677	https://inaturalist-open-data.s3.amazonaws.com/photos/424566120/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	"['common spitting spider'#'spitting spider']"	Germany
Oecobius navus	2022.0	4.0	30.0	34.064128	-118.385322	https://inaturalist-open-data.s3.amazonaws.com/photos/193188551/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Oecobiidae	Oecobius	"['baseboard spider'#'wall spider'#'house ant-eating spider'#'cosmopolitan midget house spider']"	United States
Holocnemus pluchei	2022.0	5.0	11.0	-35.489444	-62.975	https://inaturalist-open-data.s3.amazonaws.com/photos/196756658/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	['marbled cellar spider']	Argentina
Latrodectus geometricus	2024.0	9.0	27.0	29.545421	-95.309272	https://inaturalist-open-data.s3.amazonaws.com/photos/436090368/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	"['brown widow spider'#'brown widow'#'brown buttonspider'#'brown button spider'#'brown button']"	United States
Cryptachaea gigantipes	2018.0	11.0	4.0	-33.715282	151.025989	https://inaturalist-open-data.s3.amazonaws.com/photos/27737736/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	Australia
Araneus pegnia	2022.0	9.0	4.0	30.552319	-90.994107	https://inaturalist-open-data.s3.amazonaws.com/photos/233004268/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['butterfly'#'bweaver']"	United States
Steatoda nobilis	2021.0	8.0	20.0	49.1651	-2.074747	https://inaturalist-open-data.s3.amazonaws.com/photos/151963812/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	['noble false widow']	Jersey
Nephilingis cruentata	2023.0	7.0	17.0	-20.316956	-41.125171	https://inaturalist-open-data.s3.amazonaws.com/photos/301040914/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Oecobius navus	2023.0	9.0	25.0	-34.925442	-57.956672	https://inaturalist-open-data.s3.amazonaws.com/photos/322872620/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Oecobiidae	Oecobius	"['baseboard spider'#'wall spider'#'house ant-eating spider'#'cosmopolitan midget house spider']"	Argentina
Araneus pegnia	2021.0	6.0	18.0	33.096203	-96.650222	https://inaturalist-open-data.s3.amazonaws.com/photos/139418889/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['butterfly'#'bweaver']"	United States
Cryptachaea gigantipes	2023.0	11.0	24.0	-38.032374	145.391992	https://inaturalist-open-data.s3.amazonaws.com/photos/344559558/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	Australia
Argiope aurantia	2005.0	8.0	6.0	43.785234	-72.37452	https://inaturalist-open-data.s3.amazonaws.com/photos/7801772/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Argiope aurantia	2021.0	9.0	21.0	26.024247	-81.711005	https://inaturalist-open-data.s3.amazonaws.com/photos/159074865/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Pholcus phalangioides	2020.0	8.0	20.0	54.563411	11.963423	https://inaturalist-open-data.s3.amazonaws.com/photos/90987761/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Denmark
Steatoda nobilis	2021.0	9.0	5.0	52.196787	0.144111	https://inaturalist-open-data.s3.amazonaws.com/photos/155343910/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	['noble false widow']	United Kingdom
Cryptachaea veruculata	2021.0	9.0	18.0	-37.88	145.39	https://inaturalist-open-data.s3.amazonaws.com/photos/158313756/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['cosmopolitan cryptachaea'#'diamond comb-footed spider']"	Australia
Nephilingis cruentata	2021.0	1.0	11.0	-23.594157	-46.660245	https://inaturalist-open-data.s3.amazonaws.com/photos/109859323/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Nephilingis cruentata	2022.0	5.0	23.0	-22.253752	-43.07096	https://inaturalist-open-data.s3.amazonaws.com/photos/200012952/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Parasteatoda tepidariorum	2023.0	8.0	2.0	-34.67692	-58.187771	https://inaturalist-open-data.s3.amazonaws.com/photos/306495988/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	"['glasshouse spider'#'american house spider'#'common house spider']"	Argentina
Nesticodes rufipes	2024.0	3.0	18.0	-23.565212	-46.729846	https://inaturalist-open-data.s3.amazonaws.com/photos/358784273/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Nesticodes	"['brown house spider'#'red house spider']"	Brazil
Cryptachaea gigantipes	2022.0	4.0	18.0	-37.873909	145.417084	https://inaturalist-open-data.s3.amazonaws.com/photos/189132435/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Cryptachaea	"['white p'#'ch spider'#'long-legged house spider']"	Australia
Zosis geniculata	2021.0	12.0	2.0	-22.823528	-43.047758	https://inaturalist-open-data.s3.amazonaws.com/photos/171065592/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Uloboridae	Zosis	"['banded-knees house spider'#'feather-legged spider'#'ninja-star ceiling spider']"	Brazil
Neoscona crucifera	2023.0	10.0	24.0	39.5858	-84.457488	https://inaturalist-open-data.s3.amazonaws.com/photos/330581258/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	"[""hentz's""#'bweaver'#'spotted'#'bweaver'#'barn spider']"	United States
Parasteatoda tepidariorum	2013.0	8.0	20.0	39.268175	-76.823191	https://inaturalist-open-data.s3.amazonaws.com/photos/414935706/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	"['glasshouse spider'#'american house spider'#'common house spider']"	United States
Larinioides cornutus	2020.0	5.0	12.0	49.615759	4.3346	https://inaturalist-open-data.s3.amazonaws.com/photos/111199946/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['furrow spider'#'furrow'#'bweaver']"	France
Larinioides cornutus	2022.0	9.0	10.0	39.657474	-77.848074	https://inaturalist-open-data.s3.amazonaws.com/photos/229558994/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['furrow spider'#'furrow'#'bweaver']"	United States
Nephilingis cruentata	2023.0	10.0	16.0	-23.55733	-46.727775	https://inaturalist-open-data.s3.amazonaws.com/photos/328507868/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Araneus pegnia	2021.0	8.0	5.0	38.456491	-75.579021	https://inaturalist-open-data.s3.amazonaws.com/photos/149000881/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['butterfly'#'bweaver']"	United States
Steatoda nobilis	2018.0	5.0	28.0	36.266983	-121.295883	https://inaturalist-open-data.s3.amazonaws.com/photos/18816185/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	['noble false widow']	United States
Pholcus phalangioides	2021.0	7.0	30.0	47.263856	11.467208	https://inaturalist-open-data.s3.amazonaws.com/photos/147348785/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Austria
Parasteatoda tepidariorum	2023.0	6.0	10.0	44.595583	37.985203	https://inaturalist-open-data.s3.amazonaws.com/photos/288617093/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Parasteatoda	"['glasshouse spider'#'american house spider'#'common house spider']"	Russia
Larinioides cornutus	2023.0	10.0	12.0	36.904566	-89.348185	https://inaturalist-open-data.s3.amazonaws.com/photos/327586759/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Larinioides	"['furrow spider'#'furrow'#'bweaver']"	United States
Pholcus phalangioides	2022.0	7.0	19.0	52.669724	-8.624985	https://inaturalist-open-data.s3.amazonaws.com/photos/352035872/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Ireland
Neoscona crucifera	2023.0	9.0	24.0	35.82746	-78.914562	https://inaturalist-open-data.s3.amazonaws.com/photos/322519301/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	"[""hentz's""#'bweaver'#'spotted'#'bweaver'#'barn spider']"	United States
Nephilingis cruentata	2020.0	2.0	29.0	-22.953733	-43.295193	https://inaturalist-open-data.s3.amazonaws.com/photos/121363565/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Nephilingis cruentata	2023.0	4.0	17.0	-23.533414	-46.705553	https://inaturalist-open-data.s3.amazonaws.com/photos/269249141/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Mimetus puritanus	2023.0	6.0	24.0	44.827373	-76.152598	https://inaturalist-open-data.s3.amazonaws.com/photos/293462291/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Mimetidae	Mimetus	['common pirate spider']	Canada
Latrodectus geometricus	2017.0	4.0	17.0	34.045145	-118.384973	https://inaturalist-open-data.s3.amazonaws.com/photos/7199143/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	"['brown widow spider'#'brown widow'#'brown buttonspider'#'brown button spider'#'brown button']"	United States
Pholcus phalangioides	2019.0	9.0	20.0	44.637688	-63.594487	https://inaturalist-open-data.s3.amazonaws.com/photos/51893212/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	"['cellar spider'#'longbodied cellar spider'#'long-bodied cellar spider'#'daddy longlegs spider'#'skull spider']"	Canada
